State,PerCapitaIncome
Goa,4902.78
Delhi,4811.80
Sikkim,3860.55
Chandigarh,3433.13
Puducherry,3142.78
Haryana,2918.57
Maharashtra,2502.20
Tamil Nadu,2464.40
Andaman and Nicobar Islands,2349.65
Gujarat,2336.81
Kerala,2270.95
Uttarakhand,2268.68
Telangana,2085.92
Punjab,2026.36
Himachal Pradesh,2018.96
Arunachal Pradesh,1869.52
Karnataka,1852.92
Andhra Pradesh,1780.47
Nagaland,1695.86
Mizoram,1665.04
India,1626.98
West Bengal,1532.46
Tripura,1524.72
Rajasthan,1443.11
Meghalaya,1346.30
Jammu and Kashmir,1281.66
Chhattisgarh,1280.65
Odisha,1149.67
Madhya Pradesh,1133.03
Jharkhand,1009.07
Assam,968.21
Manipur,909.36
Uttar Pradesh,792.93
Bihar,682.44
